CÓDIGO,NOME,BACIA,ALTITUDE (M),COORD_X (M),COORD_Y (M),LATITUDE (ºN),LONGITUDE (ºW),ENTIDADE,DISTRITO,CONCELHO,FREGUESIA,RIO,ÁREA DRENADA (KM2),DISTÂNCIA FOZ (KM),ENTRADA FUNCIONAMENTO,DATA FECHO,OBJECTIVO,ESTADO
24M/05S,ALB. ALQUEVA (S),GUADIANA,118,255875,136966,38.19796,-7.49523,INAG/LABELEC,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),RIO GUADIANA,55288.95,159.65,15-01-2003,10-12-2004,IMPACTO / FLUXO-LE / NITRATOS-EST_TRÓFICO / DQA_QUIM_VIG / DQA_ECOL_OPER,EXTINTA,
12J/07F,ALB. ALTO CEIRA_est 1 fundo- CCHE,MONDEGO,671,-,-,40.189639,-7.845694,EDP,COIMBRA,PAMPILHOSA DA SERRA,FAJÃO,RIO CEIRA,-,-,01-01-2015,-,TURH,ATIVA,
12J/07C,ALB. ALTO CEIRA_est 1 int - CCHE,MONDEGO,671,-,-,40.189639,-7.845694,EDP,COIMBRA,PAMPILHOSA DA SERRA,FAJÃO,RIO CEIRA,-,-,01-01-2015,-,TURH,ATIVA,
12J/07P,ALB. ALTO CEIRA_est 1 perfil - CCHE,MONDEGO,671,-,-,40.189639,-7.845694,EDP,COIMBRA,PAMPILHOSA DA SERRA,FAJÃO,RIO CEIRA,-,-,01-01-2015,-,TURH,ATIVA,
03J/07,ALB. ALTO CÁVADO,CÁVADO/RIBEIRAS COSTEIRAS,881,221413.72,536962.99,41.801783,-7.87548,ARH-NORTE,VILA REAL,MONTALEGRE,SEZELHE,RIO CÁVADO,90.27,108.31,18-10-1995,-,IMPACTO / PISC-SALM-78-659 / DQA_QUIM_VIG,ATIVA,
03J/11C,ALB. ALTO CÁVADO_est 1 int - CCHE,CÁVADO/RIBEIRAS COSTEIRAS,881,-,-,41.804583,-7.873583,EDP,VILA REAL,MONTALEGRE,SEZELHE,RIO CÁVADO,-,-,01-01-2010,-,TURH,ATIVA,
03J/11P,ALB. ALTO CÁVADO_est 1 perfil - CCHE,CÁVADO/RIBEIRAS COSTEIRAS,881,-,-,41.804583,-7.873583,EDP,VILA REAL,MONTALEGRE,SEZELHE,RIO CÁVADO,-,-,01-01-2010,-,TURH,ATIVA,
03J/11S,ALB. ALTO CÁVADO_est 1 sup - CCHE,,881,-,-,41.804583,-7.873583,EDP,VILA REAL,MONTALEGRE,SEZELHE,RIO CÁVADO,-,-,01-01-2008,-,TURH,ATIVA,
02H/03,ALB. ALTO LINDOSO,LIMA,318,194265,544758,41.87226,-8.2022,ARH-NORTE,VIANA DO CASTELO,ARCOS DE VALDEVEZ,SOAJO,RIO LIMA,1510.91,67.37,04-11-1996,-,FLUXO-TFRONT-LE(PISC-SALM) / DQA_QUIM_VIG / CADC,ATIVA,
02H/59C,ALB. ALTO LINDOSO_est 1 int - CCHE,LIMA,318,-,-,41.87364,-8.19917,EDP,VIANA DO CASTELO,PONTE DA BARCA,LINDOSO,RIO LIMA,-,-,01-01-2010,-,TURH,ATIVA,
02H/59P,ALB. ALTO LINDOSO_est 1 perfil - CCHE,LIMA,318,-,-,41.87364,-8.19917,EDP,VIANA DO CASTELO,PONTE DA BARCA,LINDOSO,RIO LIMA,-,-,01-01-2010,-,TURH,ATIVA,
02H/55C,ALB. ALTO LINDOSO_est 2 int - CCHE,LIMA,318,-,-,41.875861,-8.188361,EDP,VIANA DO CASTELO,PONTE DA BARCA,LINDOSO,RIO LIMA,-,-,01-01-2010,-,TURH,ATIVA,
02H/55P,ALB. ALTO LINDOSO_est 2 perfil - CCHE,LIMA,318,-,-,41.875861,-8.188361,EDP,VIANA DO CASTELO,PONTE DA BARCA,LINDOSO,RIO LIMA,-,-,01-01-2010,-,TURH,ATIVA,
03J/09,ALB. ALTO RABAGÃO,CÁVADO/RIBEIRAS COSTEIRAS,845,223575,530003,41.7493655,-7.8473219,AdN,VILA REAL,MONTALEGRE,VIADE DE BAIXO,RIO RABAGÃO,103.38,106.27,13-02-1995,-,IMPACTO / PISC-CIP-78-659 / CAPTAÇÃO / DQA_QUIM_VIG,ATIVA,
03J/17C,ALB. ALTO RABAGÃO_est 1 int - CCHE,CÁVADO/RIBEIRAS COSTEIRAS,845,-,-,41.742,-7.85317,EDP,VILA REAL,MONTALEGRE,VIADE DE BAIXO,RIO RABAGÃO,-,-,01-01-2010,-,TURH,ATIVA,
03J/17P,ALB. ALTO RABAGÃO_est 1 perfil - CCHE,CÁVADO/RIBEIRAS COSTEIRAS,845,-,-,41.742,-7.85317,EDP,VILA REAL,MONTALEGRE,VIADE DE BAIXO,RIO RABAGÃO,-,-,01-01-2010,-,TURH,ATIVA,
03J/13C,ALB. ALTO RABAGÃO_est 2 int - CCHE,CÁVADO/RIBEIRAS COSTEIRAS,845,-,-,41.741111,-7.840917,EDP,VILA REAL,MONTALEGRE,VIADE DE BAIXO,RIO RABAGÃO,-,-,01-01-2010,-,TURH,ATIVA,
03J/13P,ALB. ALTO RABAGÃO_est 2 perfil - CCHE,CÁVADO/RIBEIRAS COSTEIRAS,845,-,-,41.741111,-7.840917,EDP,VILA REAL,MONTALEGRE,VIADE DE BAIXO,RIO RABAGÃO,-,-,01-01-2010,-,TURH,ATIVA,
24J/02,ALB. ALVITO,SADO,188,219067,146176,38.279764,-7.909861,ÁGUAS PÚBLICAS DO ALENTEJO S.A.,BEJA,CUBA,VILA ALVA,RIBEIRA DE ODIVELAS OU ORIOLA OU ALVITO,210.77,136.97,18-10-1994,-,CAPTAÇÃO-75-440 / PISC-CIP / NITRATOS / DQA_QUIM_VIG,ATIVA,
24J/02C,ALB. ALVITO (C),SADO,188,219143,146331.37,38.28229,-7.91313,ÁGUAS PÚBLICAS DO ALENTEJO S.A.,BEJA,CUBA,VILA RUIVA,RIBEIRA DE ODIVELAS OU ORIOLA OU ALVITO,-,-,23-08-2009,-,DQA_ECOL_VIG,ATIVA,
05K/02,ALB. ALVÃO - V. REAL,DOURO,1063,228062,486914,41.35098,-7.7978,ARH-NORTE,VILA REAL,VILA REAL,VILA MARIM,RIO LOUREDO,.83,121.67,19-11-1996,-,CAPTAÇÃO-75-440 / EXTRACÇÃO / NITRATOS,ATIVA,
17M/02,ALB. APARTADURA,TEJO,590,264587,264951,39.349467,-7.382019,ARH-TEJO,PORTALEGRE,MARVÃO,SÃO SALVADOR DA ARAMENHA,RIBEIRA DAS REVELADAS,8.38,306.51,09-01-1996,-,CAPTAÇÃO-75-440 / PISC-CIP / NITRATOS / DQA_ECOL_OPER,ATIVA,
17M/04C,ALB. APARTADURA (C),TEJO,590,264587,264951,39.346343,-7.382997,ARH-TEJO,PORTALEGRE,MARVÃO,SÃO SALVADOR DA ARAMENHA,RIBEIRA DAS REVELADAS,-,-,01-01-2016,-,DQA,ATIVA,
30G/06C,ALB. ARADE (C),ARADE,45,5586267.15,-5704836.22,37.24084,-8.37901,ARH-ALGARVE,FARO,SILVES,SILVES,RIO ARADE,224.98,25.85,25-05-2009,-,IMPACTO / DQA_QUIM_VIG,ATIVA,
30G/09F,ALB. ARADE (F),ARADE,45,5586267.15,-5704836.22,37.23786,-8.38089,ARH-ALGARVE,FARO,SILVES,SILVES,RIO ARADE,224.98,25.85,09-10-2001,-,IMPACTO,ATIVA,
30G/09S,ALB. ARADE (S),ARADE,45,5586267.15,-5704836.22,37.23786,-8.38089,ARH-ALGARVE,FARO,SILVES,SILVES,RIO ARADE,224.98,25.85,23-10-1989,-,IMPACTO / PISC-CIP-78-659 / DQA_QUIM_VIG,ATIVA,
03M/09,ALB. ARCOSSO,DOURO,514,-,-,41.78339,-7.37998,AdN,-,-,-,,-,-,-,-,-,-,
07P/01,ALB. ARROIO,DOURO,438,295387,458374,41.08892,-6.99788,AdN,BRAGANÇA,TORRE DE MONCORVO,URRÓS,RIBEIRA DO ARROIO,12.59,204.19,25-03-1996,-,CAPTAÇÃO-75-440 / EXTRACÇÃO,ATIVA,
07P/01C,ALB. ARROIO (C),DOURO,438,-,-,41.08892,-6.99788,AdN,-,-,-,,-,-,-,-,CAPTAÇÃO,-,
07P/01F,ALB. ARROIO (F),DOURO,438,-,-,41.08892,-6.99788,AdN,-,-,-,,-,-,-,-,-,-,
