CÓDIGO,NOME,BACIA,ALTITUDE (M),COORD_X (M),COORD_Y (M),LATITUDE (ºN),LONGITUDE (ºW),ENTIDADE,DISTRITO,CONCELHO,FREGUESIA,RIO,ÁREA DRENADA (KM2),DISTÂNCIA FOZ (KM),ENTRADA FUNCIONAMENTO,DATA FECHO,OBJECTIVO,ESTADO
20D/05,SANTO ISIDRO,TEJO,0,-,-,38.872138,-8.874838,ARH-TEJO,SANTARÉM,BENAVENTE,SAMORA CORREIA,,-,-,-,-,-,-,
05G/07,SANTO TIRSO,AVE,35,171622,486761,41.346138,-8.470593,ARH-NORTE,PORTO,SANTO TIRSO,SANTO TIRSO,RIO AVE,838.75,32.01,12-01-1999,-,FLUXO / DQA_QUIM_VIG,ATIVA,
18L/02,SANTUÁRIO SR. JESUS DOS AFLITOS,TEJO,295,-,-,39.266727,-7.514331,ARH-TEJO,PORTALEGRE,PORTALEGRE,FORTIOS,,-,-,-,-,-,-,
16C/52,SAO MARTINHO DO PORTO,,0,-,-,39.511913,-9.142814,-,-,-,-,,-,-,01-01-2019,-,-,ATIVA,
29G/01,SAPEIRA,ARADE,92,177197,41634,37.34051,-8.39041,ARH-ALGARVE,FARO,SILVES,SÃO MARCOS DA SERRA,RIBEIRA DE ODELOUCA,317.25,49.37,26-02-2002,30-09-2010,IMPACTO / DQA_QUIM_VIG,EXTINTA,
07P/06,SAPINHA,,141,-,-,41.01238,-6.93312,ARH-NORTE,-,-,-,,-,-,-,-,-,-,
17M/50,SARDINHEIRA,TEJO,340,257175,280125,39.488093,-7.468909,ARH-TEJO,PORTALEGRE,CASTELO DE VIDE,-,RIBEIRA DE S. JOAO,-,-,19-01-2010,-,DQA_ECOL_VIG,ATIVA,
21D/09,SARILHOS GRANDES,TEJO,5,-,-,38.680072,-8.947736,ARH-TEJO,-,-,-,,-,-,-,-,-,-,
02N/03,SEGIREI,,460,-,-,41.86849,-7.19741,ARH-NORTE,-,-,-,,-,-,-,-,-,-,
01G/04,SEGUDE,MINHO,50,178725,564394,42.047267,-8.388575,ARH-NORTE,VIANA DO CASTELO,MONÇÃO,BARBEITA,RIO MOURO,129.44,60.21,11-10-1993,-,CAPTAÇÃO-75-440 / PISC-SALM-78-659 / LE(PISC-SALM; CAPTAÇÃO) / DQA_QUIM_VIG / CADC,ATIVA,
15P/01,SEGURA,TEJO,170,298505,316941,39.817323,-6.981708,CCDR-CENTRO,CASTELO BRANCO,IDANHA-A-NOVA,SEGURA,RIO ERGES,981.8,315.42,26-11-1985,-,FLUXO-TFRONT-LE(PISC-CIP) / DQA_QUIM_VIG / CADC,REATIVADA,
20O/51,SEGÓVIA,GUADIANA,189,288599,224177,38.98084,-7.11063,ARH-ALENTEJO,PORTALEGRE,ELVAS,CAIA E SÃO PEDRO,RIO CAIA,-,-,29-04-2009,-,DQA_ECOL_OPER,ATIVA,
18B/04,SEIXAL,RIBEIRAS DO OESTE,5,-,-,39.263324,-9.32658,ARH-TEJO,LISBOA,LOURINHÃ,UNIÃO DAS FREGUESIAS DE LOURINHÃ E ATALAIA,,-,-,-,-,-,-,
11J/08,SEIXAS - CCHE,MONDEGO,153,-,-,40.46244,-7.89381,EDP,-,-,-,RIO MONDEGO,-,-,-,-,-,-,
29E/56F,SEIXE - ODECEIXE (F),RIBEIRAS DO ALGARVE,2,-,-,37.434424,-8.784805,-,-,-,-,,-,-,01-01-2019,-,DQA,ATIVA,
29E/56S,SEIXE - ODECEIXE (S),RIBEIRAS DO ALGARVE,2,-,-,37.434424,-8.784805,-,-,-,-,,-,-,01-01-2017,-,-,ATIVA,
11E/50,SEIXO,VOUGA/RIBEIRAS COSTEIRAS,21,-51181.81,89258.64,40.4705539,-8.7366313,ARH-CENTRO,COIMBRA,MIRA,SEIXO,VALA DO REGENTE REI OU RIBEIRA DO PALHAL OU VALA VELHA,-,-,04-03-2013,-,DQA_ECOL_OPER,ATIVA,
17B/08,SEIXO (LAGOA ÓBIDOS),RIBEIRAS DO OESTE,0,107545,271377,39.4055,-9.20651,ARH-TEJO,LEIRIA,CALDAS DA RAINHA,NADADOURO,RIO DA CAL OU LAGOA DE OBIDOS-BRACO DA BARROSA,435.85,5.04,03-01-1996,23-12-2008,Fluxo,EXTINTA,
11O/06,SEIXO DO CÔA,,664,-,-,40.46399,-7.03119,ARH-NORTE,-,-,-,,-,-,-,-,-,-,
30E/09,SELÃO NOVO,RIBEIRAS DO ALGARVE,133,152508,32440,37.25673,-8.66844,CCDR-ALGARVE,FARO,MONCHIQUE,MARMELETE,RIBEIRO DE ODEÁXERE,13.42,23.85,20-04-1995,04-12-1997,Fluxo,EXTINTA,
06H/01,SEMEALHO (ALB. TORRÃO),DOURO,63,197695,469543,41.195958,-8.160301,ARH-NORTE,PORTO,MARCO DE CANAVESES,SOBRETÂMEGA,RIO TÂMEGA,3163.33,68.77,10-11-1993,-,CAPTAÇÃO-75-440 / EXTRACÇÃO / NITRATOS-EST_TRÓFICO / DQA_QUIM_VIG,ATIVA,
21N/10,SENHORA AJUDA - CCHA,GUADIANA,145,283458,201332,38.77559,-7.17272,EDIA,PORTALEGRE,ELVAS,AJUDA  SALVADOR E SANTO ILDEFONSO,RIO GUADIANA,-,-,07-03-2003,-,EDIA,ATIVA,
21N/10C,SENHORA AJUDA - CCHA (C),,145,283458,201332,38.77559,-7.17272,EDIA,PORTALEGRE,ELVAS,AJUDA  SALVADOR E SANTO ILDEFONSO,,-,-,19-05-2010,-,EDIA,ATIVA,
12N/01,SENHORA DA QUEBRADA,TEJO,459,-,-,40.235867,-7.244597,ARH-TEJO,CASTELO BRANCO,PENAMACOR,BENQUERENÇA,,-,-,-,-,-,-,
03H/51,SEQUEIRÓS - CCHE,CÁVADO/RIBEIRAS COSTEIRAS,140,188613,529988,41.737778,-8.271667,UTAD,BRAGA,TERRAS DE BOURO,CHAMOIM,RIBEIRA DA ROCHA,-,-,21-06-2010,-,DQA_ECOL_VIG,ATIVA,
05H/05,SERNADELO,AVE,286,-,-,41.483576,-8.186147,ARH-NORTE,BRAGA,FAFE,VINHÓS,,-,-,-,-,-,-,
26L/50,SERPA,GUADIANA,48,242099,112904,37.981754,-7.6532,ARH-ALENTEJO,BEJA,SERPA,SERPA (SANTA MARIA),RIO GUADIANA,-,-,22-04-2009,-,DQA_ECOL_OPER,ATIVA,
26L/10C,SERPA - CCHA (C),GUADIANA,102,246433,114020,37.99178,-7.6045,EDIA,BEJA,SERPA,SERPA (SANTA MARIA),,-,-,18-11-2009,-,EDIA,ATIVA,
26L/10F,SERPA - CCHA (F),GUADIANA,102,246433,114020,37.99178,-7.6045,EDIA,BEJA,SERPA,SERPA (SANTA MARIA),,-,-,10-02-2009,-,EDIA,ATIVA,
26L/10P,SERPA - CCHA (P),GUADIANA,102,-,-,37.99178,-7.6045,EDIA,-,-,-,,-,-,-,-,-,-,
26L/10S,SERPA - CCHA (S),GUADIANA,102,246433,114020,37.99178,-7.6045,EDIA,BEJA,SERPA,SERPA (SANTA MARIA),,-,-,10-02-2009,-,EDIA,ATIVA,
26L/11,SERPA JUSANTE - CCHA,GUADIANA,97,-,-,37.99301,-7.60988,EDIA,-,-,-,,-,-,20-11-2009,-,EDIA,ATIVA,
10E/50,SERRALHEIRA,VOUGA/RIBEIRAS COSTEIRAS,2,-47635.93,100442.25,40.5714726,-8.6956624,ARH-CENTRO,AVEIRO,VAGOS,VAGOS,VALA REAL OU DA MARINHA OU DA LAGOA OU DO RATO,-,-,04-03-2013,-,DQA_ECOL_OPER,ATIVA,
15I/01,SERTÃ,TEJO,232,203226,315559,39.80866,-8.094295,ARH-TEJO,CASTELO BRANCO,SERTÃ,SERTÃ,RIBEIRA DA SERTA,212.84,220.08,26-04-2001,-,IMPACTO / PISC-CIP-78-659 / SP / DQA_QUIM_OPER,ATIVA,
23G/53,SESMARIA BATALHA,SADO,27,177243,163670,38.438991,-8.393498,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,SANTA SUSANA,RIBEIRA DE SANTA SUZANA,-,-,30-03-2009,-,DQA_ECOL_VIG,ATIVA,
04K/07,SET - Est. 02 - CCHEi,DOURO,263,-,-,41.584903,-7.69853,IBERDROLA,VILA REAL,BOTICAS,CODESSOSO  CURROS E FIÃES DO TÂMEGA,,-,-,-,-,-,-,
04J/01,SET - Est. 04 - CCHEi,DOURO,207,-,-,41.527873,-7.835977,IBERDROLA,VILA REAL,RIBEIRA DE PENA,UNIÃO DAS FREGUESIAS DE RIBEIRA DE PENA (SALVADOR) E SANTO ALEIXO DE ALÉM-TÂMEGA,,-,-,-,-,-,-,
05K/04,SET - Est. 06 - CCHEi,DOURO,872,-,-,41.484784,-7.705284,IBERDROLA,VILA REAL,VILA POUCA DE AGUIAR,ALVÃO,,-,-,-,-,-,-,
05J/05,SET - Est. 08 - CCHEi,DOURO,292,-,-,41.472408,-7.866886,IBERDROLA,VILA REAL,RIBEIRA DE PENA,UNIÃO DAS FREGUESIAS DE CERVA E LIMÕES,,-,-,-,-,-,-,
05K/05,SET - Est. 09 - CCHEi,DOURO,892,-,-,41.488089,-7.681429,IBERDROLA,VILA REAL,VILA POUCA DE AGUIAR,ALVÃO,,-,-,-,-,-,-,
05K/01,SET - Est. 10 - CCHEi,DOURO,883,-,-,41.489321,-7.709075,IBERDROLA,VILA REAL,VILA POUCA DE AGUIAR,ALVÃO,,-,-,-,-,-,-,
05J/06,SET - Est. 11 - CCHEi,DOURO,490,-,-,41.49074,-7.838771,IBERDROLA,VILA REAL,RIBEIRA DE PENA,UNIÃO DAS FREGUESIAS DE RIBEIRA DE PENA (SALVADOR) E SANTO ALEIXO DE ALÉM-TÂMEGA,,-,-,-,-,-,-,
05K/03,SET - Est. 12 - CCHEi,DOURO,667,-,-,41.497521,-7.790596,IBERDROLA,VILA REAL,RIBEIRA DE PENA,UNIÃO DAS FREGUESIAS DE RIBEIRA DE PENA (SALVADOR) E SANTO ALEIXO DE ALÉM-TÂMEGA,,-,-,-,-,-,-,
04K/09,SET - Est. 13 - CCHEi,DOURO,225,-,-,41.541701,-7.787147,IBERDROLA,VILA REAL,RIBEIRA DE PENA,UNIÃO DAS FREGUESIAS DE RIBEIRA DE PENA (SALVADOR) E SANTO ALEIXO DE ALÉM-TÂMEGA,,-,-,-,-,-,-,
04K/08,SET - Est. 14 - CCHEi,DOURO,297,-,-,41.541819,-7.757725,IBERDROLA,VILA REAL,RIBEIRA DE PENA,SANTA MARINHA,,-,-,-,-,-,-,
04K/05,SET - Est. 16 - CCHEi,DOURO,238,-,-,41.563778,-7.742845,IBERDROLA,VILA REAL,VILA POUCA DE AGUIAR,UNIÃO DAS FREGUESIAS DE PENSALVOS E PARADA DE MONTEIROS,,-,-,-,-,-,-,
04L/05,SET - Est. 17 - CCHEi,DOURO,510,-,-,41.576907,-7.64185,IBERDROLA,VILA REAL,VILA POUCA DE AGUIAR,BRAGADO,,-,-,-,-,-,-,
04K/06,SET - Est. 18 - CCHEi,DOURO,261,-,-,41.596414,-7.703307,IBERDROLA,VILA REAL,VILA POUCA DE AGUIAR,BRAGADO,,-,-,-,-,-,-,
04L/06,SET - Est. 19 - CCHEi,DOURO,312,-,-,41.636421,-7.632413,IBERDROLA,VILA REAL,VILA POUCA DE AGUIAR,CAPELUDOS,,-,-,-,-,-,-,
04L/04,SET - Est. 20 - CCHEi,DOURO,325,-,-,41.640315,-7.590139,IBERDROLA,VILA REAL,CHAVES,VIDAGO (UNIÃO DAS FREGUESIAS DE VIDAGO  ARCOSSÓ  SELHARIZ E VILARINHO DAS PARANHEIRAS),,-,-,-,-,-,-,
03L/01,SET - Est. 21 - CCHEi,DOURO,329,-,-,41.681879,-7.56668,IBERDROLA,VILA REAL,CHAVES,ANELHE,,-,-,-,-,-,-,
04J/13,SET - Est. 22 - CCHEi,DOURO,184,-,-,41.514404,-7.890058,IBERDROLA,BRAGA,CABECEIRAS DE BASTO,CAVEZ,,-,-,-,-,-,-,
11I/09,SEVILHA,MONDEGO,150,209472.88,378912.85,40.378896,-8.021563,ARH-CENTRO,COIMBRA,TÁBUA,TÁBUA,RIO CAVALOS,85.37,110.94,25-02-2002,-,IMPACTO,ATIVA,
13K/01,SILVARES,TEJO,377,-,-,40.140968,-7.669594,ARH-TEJO,CASTELO BRANCO,FUNDÃO,SILVARES,,-,-,-,-,-,-,
26D/01,SINES - COSTA,OCEANO ATLÂNTICO,0,133934,109069,37.94596,-8.8847,INAG/IA,-,-,-,OCEANO ATLÂNTICO,-,-,26-05-2001,15-02-2002,SP,EXTINTA,
02H/01,SOAJO,LIMA,234,-,-,41.8807,-8.25316,ARH-NORTE,VIANA DO CASTELO,ARCOS DE VALDEVEZ,SOAJO,,-,-,-,-,-,-,
13L/50,SOALHEIRA,TEJO,391,53941.63,38316.64,40.011633,-7.501323,ARH-TEJO,-,-,-,RIO OCREZA,-,-,28-02-2011,-,DQA_ECOL_OPER,ATIVA,
04G/51,SOBRADO,CÁVADO/RIBEIRAS COSTEIRAS,20,170736,512106,41.5778,-8.484,UTAD,BRAGA,BRAGA,MIRE DE TIBÃES,RIBEIRA DAS PANOIAS,-,-,22-06-2010,-,DQA_ECOL_OPER,ATIVA,
17B/01,SOBRAL LAGOA,RIBEIRAS DO OESTE,5,108960,264920,39.36614,-9.198172,ARH-TEJO,LEIRIA,ÓBIDOS,SOBRAL DA LAGOA,RIO REAL,247.14,13.03,26-04-1989,-,IMPACTO / DQA_ECOL_OPER,ATIVA,
07F/08,SOBREIRAS,DOURO,31,156152,464912,41.155415,-8.653016,ARH-NORTE,PORTO,PORTO,LORDELO DO OURO,RIO DOURO,-,-,04-04-2007,-,DQA_QUIM_VIG,ATIVA,
06I/09,SOBRETÂMEGA,DOURO,93,-,-,41.19927,-8.16216,ARH-NORTE,PORTO,MARCO DE CANAVESES,SOBRETÂMEGA,,-,-,-,-,-,-,
31E/52,SOBROSA,RIBEIRAS DO ALGARVE,18,148409,21755,37.160249,-8.713905,ARH-ALGARVE,FARO,LAGOS,BENSAFRIM,RIBEIRA DA SOBROSA,-,-,01-01-2016,-,DQA_QUIM_VIG / DQA_ECOL_VIG,ATIVA,
06K/09,SORDO_est 1 - CCHE,DOURO,599,-,-,41.27435,-7.80051,EDP,VILA REAL,VILA REAL,TORGUEDA,RIO SORDO,-,-,01-01-2011,-,TURH,ATIVA,
06K/10,SORDO_est 2 - CCHE,DOURO,455,-,-,41.26721,-7.78166,EDP,VILA REAL,VILA REAL,TORGUEDA,RIO SORDO,-,-,01-01-2011,-,TURH,ATIVA,
06K/11,SORDO_est 3 - CCHE,DOURO,216,-,-,41.27131,-7.76034,EDP,VILA REAL,SANTA MARTA DE PENAGUIÃO,CUMIEIRA,RIO SORDO,-,-,01-01-2011,-,TURH,ATIVA,
07G/01,SOUSA RIBEIRA,DOURO,20,-,-,41.09877,-8.49202,ARH-NORTE,PORTO,GONDOMAR,UNIÃO DAS FREGUESIAS DE FOZ DO SOUSA E COVELO,,-,-,-,-,-,-,
06H/04,SOUSELINHO,DOURO,153,-,-,41.21344,-8.31094,ARH-NORTE,PORTO,PENAFIEL,PENAFIEL,,-,-,-,-,-,-,
02F/53,SOUTELO,MINHO,415,166677,549873,41.91476,-8.53494,UTAD,VIANA DO CASTELO,PAREDES DE COURA,PADORNELO,RIO COURA,-,-,11-05-2010,-,DQA_ECOL_VIG,ATIVA,
03O/07,SOUTILHA,DOURO,353,-,-,41.73476,-7.08627,ARH-NORTE,BRAGANÇA,VINHAIS,ERVEDOSA,,-,-,-,-,-,-,
06G/06,SOUTO,DOURO,128,174318,473075,41.22645,-8.43941,ARH-NORTE,PORTO,PAREDES,LORDELO,RIO FERREIRA,94.36,42.95,15-12-1993,-,CAPTAÇÃO-75-440 / PISC-CIP-78-659 / NITRATOS,ATIVA,
21N/03,SRA. DA AJUDA - MARGEM - CCHA,GUADIANA,145,-,-,38.7737412,-7.1810035,EDIA,PORTALEGRE,ELVAS,ASSUNÇÃO  AJUDA  SALVADOR E SANTO ILDEFONSO,,-,-,-,-,-,-,
13H/09,SRA. DA GRAÇA - CAPT. 37,MONDEGO,114,194297.72,354302.06,40.157293,-8.200039,ARH-CENTRO,COIMBRA,LOUSÃ,SERPINS,RIO CEIRA,-,-,12-05-2014,-,CAPTAÇÃO,ATIVA,
21B/04,SRA. ROCHA,TEJO,26,102904,195393,38.720335,-9.250124,ARH-TEJO,LISBOA,OEIRAS,CARNAXIDE,RIO JAMOR,41.36,10.65,11-11-1985,-,IMPACTO / DQA_ECOL_VIG,ATIVA,
12I/02,SRA. SALVAÇÃO,MONDEGO,146,-,-,40.2283,-8.05571,ARH-CENTRO,COIMBRA,ARGANIL,ARGANIL,,-,-,-,-,-,-,
21D/05,ST SAPAL DAS HORTAS (SIMARSUL),,0,-,-,38.7611667,-8.9356111,SIMARSUL,-,-,-,RIO TEJO,-,-,02-10-2007,-,ENVITEJO,ATIVA,
21B/15,ST12 (SIMTEJO),,0,-,-,38.6796389,-9.3003056,SIMTEJO,-,-,-,RIO TEJO,-,-,17-02-2004,-,ENVITEJO,ATIVA,
21B/14,ST21 (SIMTEJO),,0,-,-,38.6966944,-9.2597778,SIMTEJO,-,-,-,RIO TEJO,-,-,17-02-2004,-,ENVITEJO,ATIVA,
21B/13,ST23 (SIMTEJO),,0,-,-,38.6724167,-9.2556389,SIMTEJO,-,-,-,RIO TEJO,-,-,17-02-2004,-,ENVITEJO,ATIVA,
21B/12F,ST32 (SIMTEJO) (F),,0,-,-,38.689861,-9.216306,-,-,-,-,,-,-,01-01-2009,-,-,ATIVA,
21B/12S,ST32 (SIMTEJO) (S),,0,-,-,38.689861,-9.216306,SIMTEJO,-,-,-,RIO TEJO,-,-,17-02-2004,-,ENVITEJO,ATIVA,
21B/11,ST41 (SIMTEJO),,0,-,-,38.6966944,-9.1759722,SIMTEJO,-,-,-,RIO TEJO,-,-,17-02-2004,-,ENVITEJO,ATIVA,
21B/10,ST43 (SIMTEJO),,0,-,-,38.6901111,-9.17275,SIMTEJO,-,-,-,RIO TEJO,-,-,17-02-2004,-,ENVITEJO,ATIVA,
22C/08,ST44 (SIMARSUL),,0,-,-,38.6415,-9.1169167,SIMTEJO,-,-,-,RIO TEJO,-,-,26-09-2007,-,ENVITEJO,ATIVA,
21C/28,ST51 (SIMTEJO),,0,-,-,38.7086111,-9.1265556,SIMTEJO,-,-,-,RIO TEJO,-,-,17-02-2004,-,ENVITEJO,ATIVA,
21C/27,ST53 (SIMTEJO),,0,-,-,38.6963611,-9.1138333,SIMTEJO,-,-,-,RIO TEJO,-,-,17-02-2004,-,ENVITEJO,ATIVA,
22C/09,ST54 (SIMARSUL),,0,-,-,38.6514444,-9.0900833,SIMARSUL,-,-,-,RIO TEJO,-,-,17-02-2004,-,ENVITEJO,ATIVA,
21C/26,ST55 (SIMTEJO),,0,-,-,38.6726944,-9.1247778,SIMTEJO,-,-,-,RIO TEJO,-,-,26-09-2007,-,ENVITEJO,ATIVA,
22C/10,ST56 (SIMTEJO),,0,-,-,38.6218611,-9.0609722,SIMTEJO,-,-,-,RIO TEJO,-,-,26-09-2007,-,ENVITEJO,ATIVA,
21C/25,ST61 (SIMTEJO),,0,-,-,38.7514444,-9.0929167,SIMTEJO,-,-,-,RIO TEJO,-,-,18-02-2004,-,ENVITEJO,ATIVA,
21C/24,ST63 (SIMTEJO),,0,-,-,38.74528,-9.07583,SIMTEJO,-,-,-,RIO TEJO,-,-,17-02-2004,-,ENVITEJO,ATIVA,
21C/23,ST64 (SIMARSUL),,0,-,-,38.7394167,-9.0535833,SIMARSUL,-,-,-,RIO TEJO,-,-,17-02-2004,-,ENVITEJO,ATIVA,
21C/21,ST65 (SIMARSUL),,0,-,-,38.6867778,-9.0532778,SIMARSUL,-,-,-,RIO TEJO,-,-,17-02-2004,-,ENVITEJO,ATIVA,
21C/20,ST66 (SIMARSUL),,0,-,-,38.6704167,-9.022,SIMARSUL,-,-,-,RIO TEJO,-,-,27-09-2007,-,ENVITEJO,ATIVA,
21C/19,ST67 (SIMARSUL),,0,-,-,38.6988889,-9.0065833,SIMARSUL,-,-,-,RIO TEJO,-,-,27-09-2007,-,ENVITEJO,ATIVA,
21C/18,ST71 (SIMTEJO),,0,-,-,38.7955278,-9.0880278,SIMTEJO,-,-,-,RIO TEJO,-,-,18-02-2004,-,ENVITEJO,ATIVA,
21C/17,ST73 (SIMTEJO),,0,-,-,38.79611,-9.07,SIMTEJO,-,-,-,RIO TEJO,-,-,18-02-2004,-,ENVITEJO,ATIVA,
21C/16,ST74 (SIMARSUL),,0,-,-,38.7664444,-9.0165278,SIMARSUL,-,-,-,RIO TEJO,-,-,17-02-2004,-,ENVITEJO,ATIVA,
20C/10,ST81 (SIMTEJO),,0,-,-,38.8531944,-9.06325,SIMTEJO,-,-,-,RIO TEJO,-,-,18-02-2004,-,ENVITEJO,ATIVA,
21D/04,ST82 (SIMTEJO),,2,-,-,38.8315,-8.9646944,SIMTEJO,-,-,-,RIO TEJO,-,-,18-02-2004,-,ENVITEJO,ATIVA,
21C/15,ST84 (SIMTEJO),,0,-,-,38.8274167,-9.0785,SIMTEJO,-,-,-,RIO TEJO,-,-,20-05-2004,-,ENVITEJO,ATIVA,
20C/09,ST91 (SIMTEJO),,0,-,-,38.8835278,-9.0181389,SIMTEJO,-,-,-,RIO TEJO,-,-,18-02-2004,-,ENVITEJO,ATIVA,
20D/04,ST92 (SIMTEJO),,0,-,-,38.9571111,-8.9811389,SIMTEJO,-,-,-,RIO TEJO,-,-,08-06-2004,-,ENVITEJO,ATIVA,
17H/05,STA. MARGARIDA DA COUTADA,TEJO,26,-,-,39.446361,-8.2815,ARH-TEJO,SANTARÉM,ABRANTES,TRAMAGAL,,-,-,-,-,-,-,
22C/11,STRC (SIMARSUL),,3,-,-,38.5938056,-9.0451111,SIMARSUL,-,-,-,RIO TEJO,-,-,20-09-2007,-,ENVITEJO,ATIVA,
22C/12,STRJ (SIMARSUL),,0,-,-,38.621,-9.1081667,SIMARSUL,-,-,-,RIO TEJO,-,-,27-09-2007,-,ENVITEJO,ATIVA,
22D/05,STRM (SIMARSUL),,0,-,-,38.6498889,-8.99525,SIMARSUL,-,-,-,RIO TEJO,-,-,20-09-2007,-,ENVITEJO,ATIVA,
21D/03,STVB (SIMARSUL),,0,-,-,38.6805556,-8.9759444,SIMARSUL,-,-,-,RIO TEJO,-,-,20-09-2007,-,ENVITEJO,ATIVA,
21D/02,STVR (SIMARSUL),,0,-,-,38.6996111,-8.9688611,SIMARSUL,-,-,-,RIO TEJO,-,-,20-09-2007,-,ENVITEJO,ATIVA,
21B/21,ST_M_A01 (SIMTEJO),,0,-,-,38.694005,-9.23031,SIMTEJO,-,-,-,RIO TEJO,-,-,08-11-2016,-,ENVITEJO,ATIVA,
21B/17,ST_M_A05 (SIMTEJO),,0,-,-,38.693148,-9.206126,SIMTEJO,-,-,-,RIO TEJO,-,-,08-11-2016,-,ENVITEJO,ATIVA,
21B/16,ST_M_A06 (SIMTEJO),,0,-,-,38.69373,-9.202817,SIMTEJO,-,-,-,RIO TEJO,-,-,08-11-2016,-,ENVITEJO,ATIVA,
21B/20,ST_M_A12 (SIMTEJO),,0,-,-,38.696332,-9.188384,SIMTEJO,-,-,-,RIO TEJO,-,-,08-11-2016,-,ENVITEJO,ATIVA,
21B/19,ST_M_A16 (SIMTEJO),,0,-,-,38.697477,-9.18254,SIMTEJO,-,-,-,RIO TEJO,-,-,08-11-2016,-,ENVITEJO,ATIVA,
21B/18,ST_M_A17 (SIMTEJO),,0,-,-,38.698141,-9.176149,SIMTEJO,-,-,-,RIO TEJO,-,-,08-11-2016,-,ENVITEJO,ATIVA,
21C/33,ST_M_A23 (SIMTEJO),,0,-,-,38.705179,-9.148283,SIMTEJO,-,-,-,RIO TEJO,-,-,08-11-2016,-,ENVITEJO,ATIVA,
21C/32,ST_M_A24 (SIMTEJO),,0,-,-,38.704746,-9.14405,SIMTEJO,-,-,-,RIO TEJO,-,-,08-11-2016,-,ENVITEJO,ATIVA,
21C/31,ST_M_A25 (SIMTEJO),,0,-,-,38.705913,-9.137959,SIMTEJO,-,-,-,RIO TEJO,-,-,08-11-2016,-,ENVITEJO,ATIVA,
21C/30,ST_M_C10 (SIMTEJO),,0,-,-,38.723904,-9.109837,SIMTEJO,-,-,-,RIO TEJO,-,-,08-11-2016,-,ENVITEJO,ATIVA,
21C/29,ST_M_C21 (SIMTEJO),,0,-,-,38.767489,-9.091673,SIMTEJO,-,-,-,RIO TEJO,-,-,07-11-2016,-,ENVITEJO,ATIVA,
04N/11,SUCÇÃES,DOURO,225,-,-,41.5169,-7.21364,ARH-NORTE,BRAGANÇA,MIRANDELA,SUCÇÃES,,-,-,-,-,-,-,
25F/50,SÃO BARNABÉ,SADO,46,165064,131606,38.14396,-8.52009,ARH-ALENTEJO,SETÚBAL,GRÂNDOLA,GRÂNDOLA,RIBEIRA DE GRÂNDOLA,-,-,01-04-2009,-,DQA_ECOL_OPER,ATIVA,
22H/52,SÃO CRISTÓVÃO - JUSANTE,SADO,140,187577,170598,38.50258,-8.27551,ARH-ALENTEJO,ÉVORA,MONTEMOR-O-NOVO,SÃO CRISTÓVÃO,RIBEIRA DO REMOURINHO OU DE CRISTOVAO,-,-,30-03-2009,-,DQA_ECOL_VIG,ATIVA,
22H/51,SÃO CRISTÓVÃO - MONTANTE,SADO,248,194585,180446,38.587699,-8.224831,ARH-ALENTEJO,ÉVORA,MONTEMOR-O-NOVO,SANTIAGO DO ESCOURAL,RIBEIRA DO REMOURINHO OU DE CRISTOVAO,-,-,30-03-2009,-,DQA_ECOL_VIG,ATIVA,
07F/11,SÃO FELIX DA MARINHA - GRANJA,VOUGA/RIBEIRAS COSTEIRAS,6,-,-,41.03158,-8.64514,ARH-NORTE,PORTO,VILA NOVA DE GAIA,SÃO FÉLIX DA MARINHA,,-,-,-,-,-,-,
11K/03,SÃO GIÃO,MONDEGO,268,227050,374799,40.34147,-7.81475,ARH-CENTRO,COIMBRA,OLIVEIRA DO HOSPITAL,SÃO GIÃO,RIO ALVA OU RIBEIRA DA FERVENÇA,120.1,157.94,26-02-2002,-,CAPTAÇÃO-75-440 / PISC-CIP / DQA_QUIM_VIG,ATIVA,
06I/03,SÃO GONÇALO,DOURO,72,-,-,41.26948,-8.08342,ARH-NORTE,PORTO,AMARANTE,UNIÃO DAS FREGUESIAS DE AMARANTE (SÃO GONÇALO)  MADALENA  CEPELOS E GATÃO,,-,-,-,-,-,-,
04S/03,SÃO JOANICO,DOURO,656,-,-,41.61156,-6.48382,ARH-NORTE,BRAGANÇA,VIMIOSO,UNIÃO DAS FREGUESIAS DE VALE DE FRADES E AVELANOSO,,-,-,-,-,-,-,
03F/04,SÃO JOÃO,LIMA,0,162351,533638,41.77156,-8.58577,ARH-NORTE,VIANA DO CASTELO,PONTE DE LIMA,PONTE DE LIMA,RIO LIMA,2218.12,26.42,06-10-1993,-,CAPTAÇÃO-75-440 / EXTRACÇÃO / NITRATOS-EST_TRÓFICO,ATIVA,
09H/04,SÃO JOÃO SERRA,VOUGA/RIBEIRAS COSTEIRAS,161,189552,425217,40.795844,-8.256513,ARH-CENTRO,AVEIRO,VALE DE CAMBRA,ARÕES,RIO TEIXEIRA,58.32,70.87,13-02-2001,-,PISC-SALM-78-659,ATIVA,
31I/51,SÃO LOURENÇO,RIBEIRAS DO ALGARVE,34,11166.92,-287027.56,37.082443,-8.007518,ARH-ALGARVE,FARO,LOULÉ,ALMANSIL,RIBEIRA DE SÃO LOURENCO OU GOLDRA,-,-,18-04-2013,-,DQA_ECOL_OPER / DQA_QUIM_OPER,ATIVA,
